subject,session,total_volume_mm3_Association_ExtremeCapsuleR,total_volume_mm3_Association_UncinateFasciculusR,total_volume_mm3_Association_HippocampusAlveusL,total_volume_mm3_Association_SuperiorLongitudinalFasciculusR,total_volume_mm3_Association_FrontalAslantTractR,total_volume_mm3_Association_ArcuateFasciculusL,total_volume_mm3_Association_FrontalAslantTractL,total_volume_mm3_Association_ParietalAslantTractR,total_volume_mm3_Association_ArcuateFasciculusR,total_volume_mm3_Association_VerticalOccipitalFasciculusR,total_volume_mm3_Association_ExtremeCapsuleL,total_volume_mm3_Association_InferiorLongitudinalFasciculusR,total_volume_mm3_Association_CingulumL,total_volume_mm3_Association_HippocampusAlveusR,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusL,total_volume_mm3_Association_MiddleLongitudinalFasciculusR,total_volume_mm3_Association_InferiorLongitudinalFasciculusL,total_volume_mm3_Association_SuperiorLongitudinalFasciculusL,total_volume_mm3_Association_ParietalAslantTractL,total_volume_mm3_Association_VerticalOccipitalFasciculusL,total_volume_mm3_Association_UncinateFasciculusL,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusR,total_volume_mm3_Association_CingulumR,total_volume_mm3_Association_MiddleLongitudinalFasciculusL,total_volume_mm3_ProjectionBrainstem_CorticospinalTractL,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisL,total_volume_mm3_ProjectionBrainstem_CorticopontineTractR,total_volume_mm3_ProjectionBrainstem_MedialLemniscusL,total_volume_mm3_ProjectionBasalGanglia_FornixL,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisR,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractR,total_volume_mm3_ProjectionBrainstem_MedialLemniscusR,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisL,total_volume_mm3_ProjectionBrainstem_CorticopontineTractL,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractL,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractR,total_volume_mm3_ProjectionBrainstem_ReticularTractL,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractR,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractL,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractL,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleL,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaR,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisR,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationR,total_volume_mm3_ProjectionBrainstem_ReticularTractR,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationL,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationR,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusL,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationR,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusR,total_volume_mm3_ProjectionBasalGanglia_FornixR,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaL,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-lr,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationL,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-rl,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationL,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleR,total_volume_mm3_ProjectionBrainstem_CorticospinalTractR,total_volume_mm3_Commissure_CorpusCallosum,total_volume_mm3_Commissure_AnteriorCommissure,total_volume_mm3_Cerebellum_CerebellumR,total_volume_mm3_Cerebellum_SuperiorCerebellarPeduncle,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleL,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleR,total_volume_mm3_Cerebellum_MiddleCerebellarPeduncle,total_volume_mm3_Cerebellum_Vermis,total_volume_mm3_Cerebellum_CerebellumL,total_volume_mm3_CranialNerve_CNVIIL,total_volume_mm3_CranialNerve_CNIIIL,total_volume_mm3_CranialNerve_CNVIIIL,total_volume_mm3_CranialNerve_CNVL,total_volume_mm3_CranialNerve_CNIIR,total_volume_mm3_CranialNerve_CNIIL,total_volume_mm3_CranialNerve_CNVIIIR,total_volume_mm3_CranialNerve_CNVR,total_volume_mm3_CranialNerve_CNIIIR,total_volume_mm3_CranialNerve_CNVIIR,total_volume_all_bundles,mean_bundle_volume
sub-129886,ses-1,7346.78,12360.5,8594.07,26086.8,12713.6,25164.4,17843.4,17367.5,8786.29,7220.27,9613.51,30504.2,28042.8,6794.68,24830.9,10703.6,33879.4,29938.0,18226.6,6990.58,17687.4,23962.5,31648.9,10716.5,3220.47,3459.37,22432.8,2265.51,5064.07,3728.35,9181.17,3673.08,805.732,21480.2,1263.26,45622.7,4257.11,699.488,39604.3,4332.04,5694.17,2029.07,1140.43,5333.06,3054.66,6383.22,1693.14,2374.21,30661.4,1954.15,5794.88,1349.85,781.167,3085.98,1321.6,32392.6,6502.97,5669.6,130195.0,2708.91,37519.4,13442.6,11390.8,10866.9,42158.5,19275.5,39787.3,1108.5,1289.05,6289.87,2081.27,3316.89,3726.51,4249.13,1563.56,1967.66,634.391,1048900.7280000001,13622.087376623378
sub-20120,ses-1,9966.02,19246.7,9565.0,36460.6,20292.5,23610.7,16987.9,20944.7,23236.6,11871.7,12837.7,38863.1,31347.4,7329.58,28024.4,11957.6,41998.8,32958.9,21016.0,10066.7,14332.4,28047.1,32088.0,11942.9,5082.5,4963.97,28442.6,4335.11,6314.43,5191.81,22800.0,7650.77,1920.98,27178.1,134.493,37829.5,6876.97,455.067,35270.4,20379.1,6556.4,1774.21,1488.02,6566.22,10709.1,6426.2,4223.95,3725.9,30788.5,2512.39,7375.03,984.442,146.162,3350.67,946.367,32984.7,7384.85,9020.88,122749.0,10021.9,34078.4,14355.8,9968.48,9293.55,30608.6,16465.9,30311.4,1414.94,1617.61,3995.5,3412.69,3958.65,3439.71,5227.43,4049.54,1895.19,599.386,1174246.467,15249.954116883117
sub-107055,ses-1,13518.7,17402.5,10373.2,38249.5,23502.6,32389.0,20732.2,20373.0,27369.1,11665.3,14974.8,42553.3,32143.9,8883.32,34671.7,13020.1,40028.1,35573.2,25489.9,12561.9,14261.2,36266.5,38551.7,13139.2,5247.7,4454.25,26252.0,7481.27,8390.18,5014.33,12025.2,10054.5,1513.82,19874.3,2708.91,41412.9,7909.93,1258.96,41403.7,16348.6,6315.66,2464.48,1548.82,6913.82,9981.37,8908.5,2906.04,4752.71,28026.8,4395.29,7434.6,2364.38,163.357,5325.69,159.673,26533.3,7676.56,6843.19,135694.0,6235.21,36656.5,13255.3,9869.6,10188.3,40647.1,16192.0,34907.5,1631.73,1952.3,4221.5,3339.61,5702.15,3378.3,4257.73,4597.95,2012.49,711.771,1257209.7510000002,16327.399363636367
sub-129552,ses-1,13999.6,20247.7,10238.1,36181.2,27164.6,30020.3,27829.1,24981.4,29621.7,9961.72,16875.5,41770.3,35016.8,7616.38,36337.2,13820.3,41899.9,36659.0,25544.5,10888.4,19523.6,31496.6,33044.2,11678.2,4682.09,4203.69,29924.5,6157.22,5902.36,5065.3,15450.8,9875.13,1062.44,29815.2,63.869,42856.1,9670.01,879.427,38998.2,14163.0,6464.89,2912.18,1429.07,5051.79,10060.0,5533.27,4134.29,3677.38,31494.8,3240.74,7345.55,1287.82,4459.78,4099.28,1761.31,29985.3,7021.29,7863.26,147464.0,1547.6,32510.6,12006.1,11579.9,10696.2,38160.5,27377.7,35234.2,2139.61,1523.64,6020.27,4632.96,4306.86,5029.68,6288.64,5670.83,3418.83,1040.33,1305656.0860000001,16956.572545454546
sub-95116,ses-1,12905.2,12630.7,11115.0,31260.8,28835.0,21736.3,28005.3,17554.8,18476.6,8083.11,7981.78,44572.6,41035.2,9289.87,38450.4,16965.8,43773.6,40305.6,19672.9,8940.43,16155.8,38045.7,35463.9,4814.74,6631.94,5682.5,30875.8,8338.59,6595.09,5282.7,20876.0,9073.7,1915.46,30092.7,1441.35,41250.8,14463.9,470.42,45983.2,20056.7,5430.71,1511.36,1458.55,6135.72,12813.1,8563.36,3120.98,3242.58,32005.1,2124.26,8652.41,1481.88,,5117.5,3789.15,37269.4,7340.02,5915.87,136677.0,2328.76,37129.4,14992.0,11858.1,10543.3,52383.6,14830.5,35362.5,1559.26,1393.45,3776.87,4857.11,4291.51,4167.45,4243.6,5807.78,2378.51,801.433,1300456.063,17111.263986842107
sub-132179,ses-1,10421.7,18187.9,8056.71,28489.9,23318.9,30581.0,18923.0,17268.6,19340.0,8583.01,9980.15,36453.8,35019.2,7140.43,31142.3,10059.4,35214.5,35759.3,17816.4,9273.9,16047.1,30117.9,33282.5,11853.8,4986.7,5007.58,31813.5,5244.63,6967.25,5329.38,17590.4,6902.77,1530.4,31334.5,283.112,42622.7,10354.1,,38495.8,17489.7,5904.81,2480.45,1258.96,5842.79,13012.1,7920.37,5798.57,4145.34,33858.6,3181.17,7249.13,1953.53,4058.14,5446.67,1092.53,33833.4,5845.86,5932.45,105188.0,8616.17,34349.2,12650.4,9840.74,13094.4,34375.0,17376.7,35670.2,1370.11,1492.32,5460.8,3105.02,3237.05,1788.95,5521.6,3273.9,1661.82,1215.97,1176387.1420000002,15478.778184210529
sub-21085,ses-1,11419.7,15484.5,9585.26,36145.6,22231.9,24264.7,15780.6,21106.9,23436.2,14633.4,5902.97,48041.2,37569.7,7709.11,37328.4,8635.83,46982.4,33909.5,24613.5,13192.6,16254.7,37176.1,38105.2,5308.5,5250.77,5727.94,30450.8,8770.32,7009.62,4069.81,16786.5,8580.55,1470.22,32124.9,249.949,55482.5,12431.1,97.6459,53617.4,17639.5,6237.05,2313.41,1177.28,8912.8,15966.6,8420.88,4376.25,3224.16,40894.6,2067.14,8175.85,1940.02,,6528.15,2178.92,40727.5,6955.58,8970.52,152484.0,2867.35,32711.4,12086.0,7891.51,11331.8,36245.0,19178.5,36111.8,1406.35,1998.98,5116.89,3324.26,4408.8,3408.39,5407.37,2664.07,2914.64,1222.72,1326424.5348999999,17452.954406578945
sub-130687,ses-1,15802.1,21827.8,10819.7,27755.4,25795.1,25009.6,23838.5,28590.6,22715.3,14306.0,9585.26,47887.6,34756.4,10581.4,35416.6,16862.0,41395.7,32307.9,31063.7,13048.9,22777.3,38417.8,31336.3,15647.3,7914.84,5110.75,31709.1,8052.41,5867.96,5918.94,18558.2,9045.45,1232.55,31914.8,2888.23,52246.7,6354.97,1373.8,54433.6,17952.1,5578.71,2776.46,1575.84,7135.52,9130.81,9039.92,2299.9,3775.03,38255.1,3296.01,7869.4,2333.68,2846.47,3635.62,2188.74,45376.5,5935.52,8715.05,147498.0,3294.17,34918.5,14859.4,11939.2,11072.1,38981.6,26572.6,36623.3,1657.52,1009.62,3755.99,4042.78,4149.64,3588.95,5653.63,4390.38,2162.33,1178.51,1377231.1599999997,17886.118961038956
sub-109735,ses-1,11267.4,15568.7,9123.44,30749.9,21407.2,24131.4,21336.5,21665.7,18718.5,9208.8,10863.9,41735.9,25661.8,7441.97,32416.0,13974.4,35124.9,28628.7,20540.6,8571.96,16083.3,29893.1,29417.8,9212.49,2462.64,4638.49,23131.6,5440.53,5591.61,3727.12,13761.9,4427.84,1535.93,26519.1,1593.65,42681.1,10758.9,3290.48,42008.0,15212.5,5497.03,2159.88,959.877,4848.52,10189.6,7001.64,2751.28,4692.53,28803.1,3252.41,6440.33,1278.61,,5892.53,,34602.9,7286.59,3520.16,137017.0,1820.88,28476.4,12737.0,9007.99,10548.2,29695.4,19041.6,30059.6,1352.3,2463.26,3701.33,3904.61,4238.69,4471.44,3896.62,3151.08,2571.34,1385.47,1138242.9470000002,15176.572626666668
sub-20362,ses-1,9067.56,13424.8,7079.02,39127.1,14373.6,21945.1,14158.7,20692.9,20514.2,9755.99,11793.7,36557.0,32979.7,6740.64,34365.2,16607.8,31383.6,37177.3,21304.0,8955.17,15660.8,33067.6,28640.9,10117.7,2938.59,4016.99,28340.0,3500.51,5734.09,4333.27,19679.6,5626.61,1108.5,27497.4,,44292.5,10236.8,851.791,49117.7,20174.0,5446.06,1481.88,1322.21,6192.22,13409.4,6456.3,336.54,2374.82,30199.0,1793.24,7243.6,1526.1,1698.67,3569.29,702.559,33074.3,6275.74,7280.45,128570.0,2708.29,34005.3,13768.7,8656.09,9795.29,31076.0,18189.8,34096.2,1468.99,1913.0,4751.49,3291.71,4504.61,3891.71,6022.11,3910.13,1927.74,580.348,1166448.318,15348.004184210526
