subid,sesid,S1_score,S3_score,A2_score,A3_score,average_rating,classification
sub-19977,ses-1,1,0,1,0,0.5,Artifact
sub-19981,ses-1,1,1,1,1,1,Pass
sub-20011,ses-1,1,1,1,1,1,Pass
sub-20017,ses-1,1,1,1,1,1,Pass
sub-20120,ses-1,0,1,0,1,0.5,Artifact
sub-20151,ses-1,1,1,1,1,1,Pass
sub-20153,ses-1,1,1,1,1,1,Pass
sub-20189,ses-1,1,1,1,1,1,Pass
sub-20197,ses-1,1,1,1,1,1,Pass
sub-20247,ses-1,0,1,1,0,0.5,Artifact
sub-20313,ses-1,1,1,1,0,0.75,Artifact
sub-20320,ses-1,1,0,1,0,0.5,Artifact
sub-20322,ses-1,1,1,1,1,1,Pass
sub-20325,ses-1,1,1,0,0,0.5,Artifact
sub-20326,ses-1,1,1,1,1,1,Pass
sub-20327,ses-1,1,1,0,1,0.75,Artifact
sub-20362,ses-1,1,1,1,1,1,Pass
sub-20386,ses-1,1,0,1,1,0.75,Artifact
sub-20387,ses-1,1,1,1,1,1,Pass
sub-20461,ses-1,1,1,1,1,1,Pass
sub-20589,ses-1,1,1,1,1,1,Pass
sub-20649,ses-1,0,1,1,0,0.5,Artifact
sub-20699,ses-1,1,1,1,1,1,Pass
sub-20809,ses-1,1,1,1,0,0.75,Artifact
sub-20888,ses-1,1,1,1,1,1,Pass
sub-20940,ses-1,1,1,1,1,1,Pass
sub-20941,ses-1,1,1,1,1,1,Pass
sub-20949,ses-1,1,1,1,1,1,Pass
sub-20963,ses-1,1,1,1,1,1,Pass
sub-20974,ses-1,1,1,1,1,1,Pass
sub-20981,ses-1,1,1,1,1,1,Pass
sub-21016,ses-1,1,1,1,0,0.75,Artifact
sub-21056,ses-1,1,1,1,1,1,Pass
sub-21059,ses-1,1,1,1,1,1,Pass
sub-21085,ses-1,1,1,1,1,1,Pass
sub-80557,ses-1,1,1,1,1,1,Pass
sub-80688,ses-1,1,1,1,1,1,Pass
sub-81725,ses-1,1,1,1,1,1,Pass
sub-81760,ses-1,1,1,1,1,1,Pass
sub-82051,ses-1,1,1,1,1,1,Pass
sub-82063,ses-1,1,1,1,1,1,Pass
sub-82492,ses-1,1,1,1,1,1,Pass
sub-82790,ses-1,1,1,1,1,1,Pass
sub-83010,ses-1,0,1,0,0,0.25,Artifact
sub-83372,ses-1,1,1,1,1,1,Pass
sub-83454,ses-1,1,1,1,1,1,Pass
sub-83835,ses-1,0,0,1,1,0.5,Artifact
sub-83999,ses-1,1,1,1,1,1,Pass
sub-84103,ses-1,1,1,1,1,1,Pass
sub-84354,ses-1,0,1,1,1,0.75,Artifact
sub-84688,ses-1,0,0,0,0,0,Fail
sub-84761,ses-1,1,1,1,1,1,Pass
sub-84973,ses-1,1,1,1,1,1,Pass
sub-85083,ses-1,1,1,0,0,0.5,Artifact
sub-85173,ses-1,1,1,0,0,0.5,Artifact
sub-85369,ses-1,1,1,1,1,1,Pass
sub-85743,ses-1,1,1,1,1,1,Pass
sub-85853,ses-1,1,1,1,1,1,Pass
sub-86287,ses-1,0,0,0,0,0,Fail
sub-86350,ses-1,1,1,1,1,1,Pass
sub-86444,ses-1,1,1,1,1,1,Pass
sub-86486,ses-1,1,1,1,1,1,Pass
sub-86722,ses-1,1,1,0,0,0.5,Artifact
sub-86924,ses-1,0,1,1,1,0.75,Artifact
sub-86972,ses-1,1,1,1,1,1,Pass
sub-87135,ses-1,1,1,1,1,1,Pass
sub-87346,ses-1,0,0,0,0,0,Fail
sub-87445,ses-1,1,1,1,1,1,Pass
sub-87457,ses-1,1,1,1,1,1,Pass
sub-87538,ses-1,1,1,1,1,1,Pass
sub-87563,ses-1,1,1,1,1,1,Pass
sub-87601,ses-1,1,1,1,1,1,Pass
sub-87646,ses-1,1,1,1,1,1,Pass
sub-87804,ses-1,1,1,1,1,1,Pass
sub-87990,ses-1,1,1,1,1,1,Pass
sub-88209,ses-1,0,0,1,0,0.25,Artifact
sub-88402,ses-1,1,1,1,1,1,Pass
sub-88589,ses-1,1,1,0,0,0.5,Artifact
sub-88608,ses-1,1,1,1,1,1,Pass
sub-88760,ses-1,1,1,1,1,1,Pass
sub-88770,ses-1,1,1,1,1,1,Pass
sub-88773,ses-1,1,1,1,1,1,Pass
sub-89279,ses-1,1,1,1,1,1,Pass
sub-89377,ses-1,1,1,1,1,1,Pass
sub-90021,ses-1,1,0,1,0,0.5,Artifact
sub-90060,ses-1,1,1,1,1,1,Pass
sub-90077,ses-1,1,1,1,1,1,Pass
sub-90262,ses-1,1,1,1,1,1,Pass
sub-90281,ses-1,1,1,1,1,1,Pass
sub-90683,ses-1,1,1,1,1,1,Pass
sub-91717,ses-1,1,1,0,1,0.75,Artifact
sub-91919,ses-1,1,1,1,1,1,Pass
sub-91962,ses-1,1,1,1,1,1,Pass
sub-92089,ses-1,1,1,1,1,1,Pass
sub-92182,ses-1,0,1,0,1,0.5,Artifact
sub-92193,ses-1,1,1,1,1,1,Pass
sub-92211,ses-1,1,1,1,1,1,Pass
sub-92554,ses-1,1,1,1,1,1,Pass
sub-92927,ses-1,1,1,1,1,1,Pass
sub-93051,ses-1,1,1,0,1,0.75,Artifact
sub-93169,ses-1,1,1,1,1,1,Pass
sub-93274,ses-1,1,1,1,1,1,Pass
sub-93278,ses-1,1,1,1,1,1,Pass
sub-93292,ses-1,0,1,1,1,0.75,Artifact
