sub,ses,acq,dir,space,desc,raw_dimension_x,raw_dimension_y,raw_dimension_z,raw_voxel_size_x,raw_voxel_size_y,raw_voxel_size_z,raw_max_b,raw_neighbor_corr,raw_masked_neighbor_corr,raw_dwi_contrast,raw_num_bad_slices,raw_num_directions,raw_coherence_index,t1_dimension_x,t1_dimension_y,t1_dimension_z,t1_voxel_size_x,t1_voxel_size_y,t1_voxel_size_z,t1_max_b,t1_neighbor_corr,t1_masked_neighbor_corr,t1_dwi_contrast,t1_num_bad_slices,t1_num_directions,t1_coherence_index,t1post_dimension_x,t1post_dimension_y,t1post_dimension_z,t1post_voxel_size_x,t1post_voxel_size_y,t1post_voxel_size_z,t1post_max_b,t1post_neighbor_corr,t1post_masked_neighbor_corr,t1post_dwi_contrast,t1post_num_bad_slices,t1post_num_directions,t1post_coherence_index,mean_fd,max_fd,max_rotation,max_translation,max_rel_rotation,max_rel_translation,t1_dice_distance,CNR0_mean,CNR1_mean,CNR2_mean,CNR3_mean,CNR0_median,CNR1_median,CNR2_median,CNR3_median,CNR0_standard_deviation,CNR1_standard_deviation,CNR2_standard_deviation,CNR3_standard_deviation,file_name,subject_id,session_id,task_id,dir_id,acq_id,space_id,rec_id,run_id
95116,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.949164,0.814353,1.325592,0.0,109.0,6985.74,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.980608,0.904718,1.380823,0.0,109.0,5600.77,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.979846,0.888022,1.476322,0.0,109.0,6149.26,0.2207235232242606,0.77800674153,0.002705871593,0.2389748886,0.002451912383,0.4413163038,0.0258139958692746,29.667149,0.8199804,1.304541,1.9880909,28.293373,0.59122616,0.97870874,1.6132729,14.73004,0.7183992,1.0360096,1.257826,sub-95116_ses-1_acq-multiband_dir-AP,sub-95116,ses-1,,dir-AP,acq-multiband,,,
95257,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.937463,0.751997,1.375892,0.0,109.0,4604.0,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.976643,0.870923,1.475024,0.0,109.0,7463.51,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.976273,0.841985,1.689704,0.0,109.0,8224.22,0.4681674071369949,1.0498594803595,0.00755070243,0.5646719431,0.0053093763999999,0.8042263462999999,0.0303235878394252,23.5757,0.82844895,1.105154,1.8227283,22.794298,0.60751694,0.82423407,1.4911833,12.557991,0.6790141,0.83917636,1.0666354,sub-95257_ses-1_acq-multiband_dir-AP,sub-95257,ses-1,,dir-AP,acq-multiband,,,
95460,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.942919,0.781825,1.312669,0.0,109.0,6608.77,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.978968,0.88547,1.397392,0.0,109.0,5589.84,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.978266,0.865981,1.498093,0.0,109.0,6124.02,0.3209739077535898,1.111733768525,0.003289672546,0.7140910976,0.0030928568448,0.8485889296,0.0270624720838071,25.973753,0.75292915,1.151749,1.7265468,24.784748,0.5526571,0.8830349,1.413656,13.422733,0.6394582,0.8751063,1.047368,sub-95460_ses-1_acq-multiband_dir-AP,sub-95460,ses-1,,dir-AP,acq-multiband,,,
96659,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.948691,0.78218,1.35981,2.0,109.0,7937.33,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.982594,0.907826,1.371615,0.0,109.0,6161.27,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.98454,0.96733,1.070825,0.0,109.0,2552.61,0.2913720649467185,0.702941998525,0.004410301335,0.5200075529,0.001784314401,0.6761256217,0.0258316411458651,30.135462,0.8740022,1.3547248,2.153436,28.621973,0.6864851,1.0925374,1.8289055,14.770959,0.66006655,0.9294754,1.224376,sub-96659_ses-1_acq-multiband_dir-AP,sub-96659,ses-1,,dir-AP,acq-multiband,,,
97092,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.954631,0.817007,1.315165,0.0,109.0,7078.63,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.984062,0.921487,1.316458,0.0,109.0,4921.51,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.983192,0.888973,1.5124,0.0,109.0,5567.6,0.2884274153373111,0.7673801271019999,0.004083779175,0.5534608279,0.0032379201729,0.5891557471,0.0219575040826291,28.17456,0.8982099,1.4090254,2.1118639,26.890451,0.66998315,1.0812511,1.7161543,14.921616,0.72345126,1.0431087,1.3031362,sub-97092_ses-1_acq-multiband_dir-AP,sub-97092,ses-1,,dir-AP,acq-multiband,,,
97271,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.947934,0.796114,1.348796,0.0,109.0,6446.52,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.982058,0.901102,1.438918,0.0,109.0,5598.18,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.981434,0.876091,1.632918,0.0,109.0,6252.05,0.3614417124618632,1.070948597135,0.01384052448,0.6538147602,0.0043890411039999,0.61604448599,0.0231970219855917,27.232645,0.9584758,1.38712,2.071161,25.926329,0.7024523,1.0537776,1.6870662,14.62247,0.7914252,1.0496234,1.292143,sub-97271_ses-1_acq-multiband_dir-AP,sub-97271,ses-1,,dir-AP,acq-multiband,,,
97485,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.932637,0.75184,1.280177,31.0,109.0,5830.57,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.974323,0.862185,1.357894,0.0,109.0,5566.0,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.973593,0.83851,1.464515,0.0,109.0,6060.93,0.4623311608400773,0.9004177656315001,0.00363473827,0.4233810679,0.0039056650134999,0.555542139,0.0229617016863012,20.598955,0.5326402,0.8671561,1.3201436,19.510735,0.3668874,0.64636195,1.0797755,10.062007,0.48148462,0.66201144,0.7828264,sub-97485_ses-1_acq-multiband_dir-AP,sub-97485,ses-1,,dir-AP,acq-multiband,,,
97994,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.944635,0.78832,1.314436,0.0,109.0,8683.28,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.979398,0.89085,1.384326,0.0,109.0,6499.88,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.97883,0.864333,1.567388,0.0,109.0,6912.49,0.2532558945551615,0.6692391941849999,0.003871038789,0.37993374,0.00210059034723,0.4965452273,0.0204775872351301,28.77029,0.7404451,1.1917086,1.9285169,27.489445,0.55107784,0.91991806,1.5936716,14.394331,0.62353724,0.9036494,1.1641834,sub-97994_ses-1_acq-multiband_dir-AP,sub-97994,ses-1,,dir-AP,acq-multiband,,,
98314,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.946984,0.805226,1.275762,6.0,109.0,2903.62,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.982574,0.913281,1.307449,0.0,109.0,3891.12,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.981768,0.889459,1.427256,0.0,109.0,4426.46,0.3595382400702785,0.85029107419,0.01165860146,0.5499127612,0.004163875245,0.51050829179,0.0437633496509928,24.777426,0.81207734,1.242461,1.804516,23.61478,0.60257703,0.94895536,1.4650631,13.066656,0.6664217,0.9321241,1.1191671,sub-98314_ses-1_acq-multiband_dir-AP,sub-98314,ses-1,,dir-AP,acq-multiband,,,
98422,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.941867,0.775089,1.319318,0.0,109.0,6732.74,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.979535,0.89217,1.38227,0.0,109.0,6744.43,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.979103,0.871084,1.51618,0.0,109.0,6509.73,0.4249557260579735,1.2880524307839996,0.002827257616,0.7614611210999999,0.004712900846,0.9961425947,0.031947610376049,25.07594,0.8201774,1.1880336,1.8229496,24.327488,0.6125374,0.92126083,1.5186427,12.707306,0.68208927,0.89386356,1.0862316,sub-98422_ses-1_acq-multiband_dir-AP,sub-98422,ses-1,,dir-AP,acq-multiband,,,
98535,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.935519,0.763278,1.319352,4.0,109.0,6750.2,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.97685,0.88888,1.365146,0.0,109.0,6054.02,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.975394,0.850672,1.575046,0.0,109.0,6846.28,0.51332433488849,1.496809615057,0.0106464671,0.6900962536,0.0091675331379999,0.8106562854,0.0245021460638345,21.24941,0.7910171,1.1387422,1.6320935,20.223269,0.57674164,0.8460585,1.3200682,11.884284,0.66085184,0.87426126,0.9803218,sub-98535_ses-1_acq-multiband_dir-AP,sub-98535,ses-1,,dir-AP,acq-multiband,,,
98567,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.946367,0.799194,1.321221,0.0,109.0,6585.87,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.979742,0.896899,1.366771,0.0,109.0,5169.67,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.979006,0.867731,1.540495,0.0,109.0,5872.59,0.2464005272217307,0.592926400065,0.003217175137,0.2556488672,0.0024026384343,0.32407506351,0.02122436438564,28.039639,0.7493319,1.1213822,1.8450618,26.47405,0.56400216,0.8763177,1.5331396,14.416493,0.6186244,0.8325428,1.0979519,sub-98567_ses-1_acq-multiband_dir-AP,sub-98567,ses-1,,dir-AP,acq-multiband,,,
98871,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.948617,0.816874,1.266928,0.0,109.0,5159.18,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.981303,0.912475,1.299101,0.0,109.0,6015.82,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.980792,0.894704,1.392887,0.0,109.0,6295.97,0.2189008341730837,0.6153934732999999,0.005599929951,0.2841502262,0.0032120759711,0.3634529784,0.0298265788884686,29.81389,0.8265953,1.2632574,1.8077569,28.385374,0.6131482,0.98081344,1.488724,14.628791,0.693859,0.94649875,1.1257935,sub-98871_ses-1_acq-multiband_dir-AP,sub-98871,ses-1,,dir-AP,acq-multiband,,,
99352,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.9374,0.770302,1.265754,48.0,109.0,6583.05,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.978011,0.894617,1.304466,0.0,109.0,5123.12,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.976844,0.860953,1.464457,0.0,109.0,6014.35,0.4573096365847966,1.4602555665,0.01042490732,1.079450059,0.008266802412,0.6752666662,0.0311916381013491,14.59914,0.731071,1.1221217,1.4775051,13.775558,0.5252104,0.83646053,1.188063,7.471631,0.62517816,0.85437846,0.91209584,sub-99352_ses-1_acq-multiband_dir-AP,sub-99352,ses-1,,dir-AP,acq-multiband,,,
99604,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.933322,0.743641,1.339901,14.0,109.0,6340.5,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.975317,0.878423,1.377329,0.0,109.0,6286.09,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.974518,0.837686,1.611277,0.0,109.0,7496.89,0.5670855528260889,1.411845815565,0.009678030387,0.785471549,0.0032839339112,1.0953918585,0.0276190371209055,22.655386,0.7608423,1.0875325,1.6592082,22.055117,0.54155356,0.802809,1.3518918,12.504351,0.6581443,0.850221,0.99087924,sub-99604_ses-1_acq-multiband_dir-AP,sub-99604,ses-1,,dir-AP,acq-multiband,,,
99949,1,multiband,AP,ACPC,image,140.0,140.0,92.0,1.5,1.5,1.5,2010.0,0.954174,0.806929,1.326307,1.0,109.0,4720.77,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.984078,0.910388,1.366799,0.0,109.0,4567.62,95.0,116.0,101.0,1.7,1.7,1.7,2010.0,0.983304,0.876871,1.587382,0.0,109.0,4828.92,0.3144045197712974,0.6367192762562001,0.007513588294,0.5488170677,0.0030168363588,0.4128645407,0.0302707948416475,27.754457,0.8812335,1.3335885,1.9975357,26.512447,0.65623474,1.0273371,1.6435083,14.878719,0.7075061,0.9774514,1.1993124,sub-99949_ses-1_acq-multiband_dir-AP,sub-99949,ses-1,,dir-AP,acq-multiband,,,
