sub,ses,acq,run,mean_fd,rmsd,coreg_dice,coreg_correlation,coreg_overlap,qei_cbf,qei_cbf_rho_ss,qei_cbf_di,percentage_negative_cbf,qei_cbf_score,qei_cbf_score_rho_ss,qei_cbf_score_di,percentage_negative_cbf_score,qei_cbf_scrub,qei_cbf_scrub_rho_ss,qei_cbf_scrub_di,percentage_negative_cbf_scrub,qei_cbf_basil,qei_cbf_basil_rho_ss,qei_cbf_basil_di,percentage_negative_cbf_basil,qei_cbf_basil_gm,qei_cbf_basil_gm_rho_ss,qei_cbf_basil_gm_di,percentage_negative_cbf_basil_gm,mean_gm_cbf,mean_wm_cbf,ratio_gm_wm_cbf,norm_dice,norm_correlation,norm_overlap
92193.0,1.0,VARIANTRepetitionTimeC0,n/a,0.3094360392338086,0.1492213705690349,0.6310953432279636,0.5179282640203005,0.8358743788242453,0.669479529606176,0.5722227074271425,13.005801270781772,0.0,0.6716074801286359,0.5728478937171743,12.819282420195218,0.0,0.7332538138578195,0.6249633471613797,9.738105435655976,0.0,0.7183615938634145,0.613870120628152,10.568754748360362,0.0,0.4989186596113485,0.4528637503532607,24.409194902903018,0.0,48.08472678928819,30.777725397991134,1.5623223018432248,0.6172690125427213,0.5010958967554476,0.7830435888738128
92211.0,1.0,n/a,n/a,1.677501003915379,1.1223806603588118,0.7171653591660654,0.6720615421977022,0.9710639005529456,0.6390896694840773,0.5804651202576916,9.964806126142935,1.230929264909847,0.6360389561868541,0.5786203975252394,9.93727346960596,1.3176144244105408,0.6949542570335325,0.6213556848604478,7.539903574742286,0.901525658807212,0.7345914745478461,0.6062936338853709,8.551426610647102,0.0,0.4868598858736271,0.4332801423442544,24.061496137850508,0.0,50.55159535870438,38.99038197130059,1.296514494162011,0.718081413695172,0.6537210686047313,0.9648914518317504
92554.0,1.0,n/a,n/a,0.2518206200539404,0.1365929210266115,0.8552754118902077,0.8245569219569466,0.9763405110758882,0.877001018300237,0.6791686440799034,0.3928195591165949,0.0,0.8767538011232235,0.6787927337499852,0.3953225733509317,0.0,0.8936736669246581,0.7086756413577056,0.3212238123099595,0.0,0.8675562146286023,0.6647190069034576,0.4745845251777748,0.0,0.7044483331189991,0.4688531830848189,1.4575749702499987,0.0,4.393415093940395,3.15319724106321,1.3933207338653522,0.8639730206919497,0.829150433064652,0.9689620081411128
92927.0,1.0,n/a,n/a,1.3617101337272062,0.8874130791972377,0.6736466287916354,0.6260656688185803,0.9841046444242072,0.5623956870125951,0.5390887833943675,9.532409444099123,4.509481857548156,0.5737373704990666,0.5462856281341045,9.00666189845923,4.285500970583843,0.6547834022917837,0.6153773954296224,5.9699171589130655,3.240256831417052,0.7498315297182067,0.5974123510193395,6.603435535253999,0.0,0.5141748407476429,0.4282263824291326,19.383018891852377,0.0,31.83355364385808,21.8554586308712,1.4565493308336552,0.6818667669633446,0.6119276409115262,0.9724219810040704
93051.0,1.0,n/a,n/a,0.174749349340413,0.0989136989705485,0.8538986424052882,0.8269560354563792,0.9864920348168827,0.8727990224191584,0.6712509832092526,0.3777687269909171,0.0,0.8718401940255309,0.6695406090225002,0.3767912538987509,0.0,0.8913375085375214,0.7030674036824177,0.2905988017400589,0.0,0.8608932539274018,0.6533711366862974,0.4725230907910995,0.0,0.6681698168670188,0.4365593530624401,1.8615437080891557,0.0,5.578144358212411,4.385034889971284,1.2720866533969448,0.8437401370186629,0.8022176826372295,0.9464976255088196
93169.0,1.0,n/a,n/a,0.3044202491114405,0.1557194232245134,0.8549959709911362,0.8318100154047323,0.978196736424818,0.8837353934442117,0.6939093327563459,0.4704210405471644,0.0,0.883545070449644,0.6935773396090903,0.4714378885591379,0.0,0.8983784413922418,0.7203673445273251,0.3843001352332985,0.0,0.8718607873357591,0.6750969685961564,0.5797739365296222,0.0,0.7511651909767746,0.5204576066307637,1.4520096436128729,0.0,5.17604169315865,3.907230648562164,1.3247341042084118,0.8625641699435962,0.828010061246246,0.9742706919945726
93278.0,1.0,n/a,n/a,0.1514213743574033,0.0853039331013733,0.8321832589167535,0.7994129683548737,0.9655977392800098,0.8762032275979205,0.6741209696907281,0.2655011641141294,0.0,0.8760899869603394,0.6739141051311411,0.2652893706972598,0.0,0.8923599734205933,0.7026782813963272,0.2163677128570882,0.0,0.8553874848149242,0.6415381775093487,0.3583561498972254,0.0,0.6725250274007333,0.4334899669019593,1.171451311472356,0.0,3.092681647517489,2.397488786080884,1.2899670961852632,0.8408941473477962,0.7987047664755672,0.9462644165535956
93292.0,1.0,n/a,n/a,0.1233457812615827,0.064541154213199,0.8831277092364122,0.8637719726896289,0.9816075978688904,0.8976427258553441,0.7170333101982516,0.3303566281086105,0.0,0.8976021445173579,0.7169096628207715,0.3291604656441797,0.0,0.9109229183135432,0.7434577438760934,0.2662332934537038,0.0,0.8869677908909371,0.6983873279353391,0.413207260879203,0.0,0.7797739792990623,0.5482832038684321,1.007396385597357,0.0,4.458553327636984,3.4950923685044986,1.275661086331958,0.8767116400223546,0.8440101485882623,0.961172829036635
93406.0,1.0,n/a,n/a,0.3166517982517886,0.1556565614571108,0.8565270004537892,0.8268609268758189,0.949088623507228,0.8564136974708445,0.6455255860348773,0.4532029055178591,0.0,0.856633124328967,0.6458167935241176,0.4505523217796259,0.0,0.8730705386767271,0.6720265132266202,0.3885426870076419,0.0,0.8458003117286437,0.631497999937189,0.5734345921168702,0.0,0.6968693785970053,0.4609155982568127,1.451128321753576,0.0,3.987657552992856,3.1830009626560147,1.252798098328379,0.7643518039450743,0.695612736871031,0.8299864314789688
93517.0,1.0,n/a,n/a,0.7112736255298715,0.465353883685383,0.6450095802125065,0.6056072319324917,0.99458346389722,0.7811940090397702,0.6351369232945787,3.737613069798619,0.1452583523552604,0.7913857358805422,0.6396004837323784,3.438772543254998,0.1037559659680431,0.851045445151111,0.6842244237488102,2.4149936781540147,0.0,0.8075621817097954,0.6409626776876346,3.9321927333083138,0.0,0.5970692547398889,0.4668391234399731,12.568870369923278,0.0,36.03495222312203,26.83884534585186,1.3426416732451385,0.6541796691034153,0.5834990880072101,0.9924355495251016
