subject	AcqGroup
sub-20153	1
sub-20326	1
sub-20461	1
sub-20589	1
sub-20649	1
sub-20809	1
sub-20888	1
sub-20963	1
sub-21016	1
sub-21056	1
sub-83835	1
sub-85743	1
sub-87445	1
sub-87563	1
sub-87601	1
sub-92211	1
sub-93274	1
sub-93517	1
sub-94276	1
sub-96659	1
sub-97092	1
sub-97271	1
sub-98422	1
sub-99604	1
sub-104785	1
sub-106331	1
sub-106802	1
sub-109735	1
sub-112249	1
sub-114709	1
sub-116354	1
sub-120562	1
sub-121001	1
sub-126554	1
sub-127008	1
sub-127236	1
sub-129552	1
sub-129720	1
sub-19981	2
sub-20151	2
sub-20362	2
sub-20699	2
sub-20940	2
sub-80557	2
sub-80688	2
sub-85369	2
sub-86972	2
sub-88402	2
sub-88760	2
sub-88770	2
sub-90077	2
sub-91962	2
sub-92182	2
sub-95057	2
sub-97485	2
sub-97994	2
sub-98535	2
sub-98567	2
sub-99949	2
sub-104235	2
sub-105168	2
sub-106039	2
sub-106246	2
sub-107055	2
sub-110354	2
sub-112694	2
sub-114935	2
sub-115800	2
sub-120217	2
sub-122522	2
sub-126176	2
sub-127417	2
sub-128154	2
sub-131867	2
sub-132179	2
sub-19977	3
sub-20189	3
sub-20197	3
sub-20247	3
sub-20320	3
sub-20322	3
sub-20327	3
sub-20941	3
sub-20974	3
sub-20981	3
sub-21059	3
sub-21085	3
sub-86486	3
sub-87646	3
sub-89377	3
sub-90021	3
sub-91717	3
sub-95116	3
sub-95460	3
sub-98871	3
sub-106880	3
sub-109521	3
sub-112332	3
sub-121050	3
sub-126921	3
sub-127611	3
sub-133220	3
sub-20011	4
sub-20313	4
sub-20387	4
sub-20949	4
sub-81725	4
sub-84688	4
sub-85083	4
sub-86722	4
sub-88589	4
sub-89279	4
sub-92089	4
sub-92927	4
sub-93549	4
sub-93723	4
sub-102041	4
sub-105176	4
sub-105767	4
sub-105860	4
sub-108202	4
sub-112028	4
sub-117397	4
sub-125511	4
sub-126389	4
sub-129886	4
sub-131224	4
sub-132657	4
sub-85853	5
sub-86287	5
sub-87990	5
sub-88209	5
sub-99964	5
sub-103679	5
sub-113111	5
sub-114990	5
sub-116019	5
sub-116051	5
sub-116360	5
sub-125554	5
sub-129926	5
sub-130211	5
sub-82492	6
sub-83010	6
sub-84103	6
sub-84973	6
sub-86444	6
sub-87135	6
sub-87804	6
sub-98394	6
sub-98831	6
sub-116210	6
sub-119302	6
sub-121085	6
sub-122916	6
sub-82063	7
sub-82790	7
sub-86350	7
sub-86924	7
sub-87457	7
sub-93169	7
sub-105979	7
sub-112126	7
sub-114713	7
sub-139272	7
sub-90683	8
sub-99352	8
sub-110828	8
sub-118864	8
sub-128061	8
sub-129405	8
sub-83454	9
sub-90262	9
sub-90281	9
sub-92554	9
sub-93787	9
sub-132224	9
sub-91919	10
sub-93292	10
sub-94848	10
sub-98314	10
sub-118990	10
sub-83372	11
sub-87346	11
sub-114723	11
sub-122801	11
sub-130121	11
sub-20120	12
sub-20325	12
sub-84354	12
sub-95015	12
sub-105309	12
sub-81760	13
sub-88608	13
sub-93051	13
sub-93278	13
sub-119791	14
sub-126903	14
sub-130896	14
sub-20017	15
sub-95257	15
sub-92193	16
sub-109646	16
sub-83999	17
sub-87538	17
sub-125535	18
sub-127305	18
sub-85173	19
sub-117226	19
sub-122528	20
sub-127542	21
sub-130687	22
sub-129354	23
sub-130759	24
sub-106071	25
sub-121476	26
sub-121670	27
sub-93406	28
sub-90060	29
sub-88773	30
sub-104059	31
sub-94492	32
sub-93856	33
sub-112061	34
sub-118393	35
sub-121407	36
sub-93734	37
sub-110168	38
sub-84761	39
sub-82051	40
sub-20386	41
