raw_column	status	task	nda_element	nda_description	grmpy_description
slnb2_90_slnb2_tp2	released	lnb	cnb_lnb_tp2	LNB True Positive Responses for 2-Back Trials	SLNB2 True Positive Responses for 2-Back Trials
spcet_a_spcet_acc2	released	pcet	cnb_pcet_acc2	PCET Calculated Accuracy Measure	
spcet_a_spcet_cat	released	pcet	cnb_pcet_cat	PCET Total Number of Categories Achieved	
spcet_a_spcet_cat1_tr	released	pcet	cnb_pcet_cat1_tr	PCET Total Number of Responses for Category 1	
spcet_a_spcet_cat2_tr	released	pcet	cnb_pcet_cat2_tr	PCET Total Number of Responses for Category 2	
spcet_a_spcet_cat3_tr	released	pcet	cnb_pcet_cat3_tr	PCET Total Number of Responses for Category 3	
spcet_a_spcet_cr	released	pcet	cnb_pcet_cr	PCET Total Correct Responses	
spcet_a_spcet_er	released	pcet	cnb_pcet_er	PCET Total Incorrect Responses	
spcet_a_spcet_num	released	pcet	cnb_pcet_num	PCET Total Number of Responses	
spcet_a_spcet_rt	released	pcet	cnb_pcet_rt	PCET Median Response Time for All Responses (ms)	
spcet_a_spcet_rtcr	released	pcet	cnb_pcet_rtcr	PCET Median Response Time for Correct Responses (ms)	
spcet_a_spcet_rter	released	pcet	cnb_pcet_rter	PCET Median Response Time for Incorrect Responses (ms)	
spcptnl_scpl_fn	released	cptnl	cnb_cptnl_letter_fn	CPTNL False Negative Responses for Letter Trials	NumLet False Negative Responses for Letter Trials
spcptnl_scpl_fp	released	cptnl	cnb_cptnl_letter_fp	CPTNL False Positive Responses for Letter Trials	NumLet False Positive Responses for Letter Trials
spcptnl_scpl_fprt	released	cptnl	cnb_cptnl_letter_fprt	CPTNL Median Response Time for False Positive Responses for Letter Trials (ms)	Median Response Time for NumLet False Positive Responses of Letter Trials (ms)
spcptnl_scpl_rt	released	cptnl	cnb_cptnl_letter_rt	CPTNL Median Response Time for All Letter Responses (ms)	Median Response Time for All Letter Positive Responses (ms)
spcptnl_scpl_tn	released	cptnl	cnb_cptnl_letter_tn	CPTNL True Negative Responses for Letter Trials	NumLet True Negative Responses for Letter Trials
spcptnl_scpl_tp	released	cptnl	cnb_cptnl_letter_tp	CPTNL True Positive Responses for Letter Trials	NumLet True Positive Responses for Letter Trials
spcptnl_scpl_tprt	released	cptnl	cnb_cptnl_letter_tprt	CPTNL Median Response Time for True Positive Responses for Letter Trials (ms)	Median Response Time for NumLet True Positive Responses for Letter Trials (ms)
spcptnl_scpn_fn	released	cptnl	cnb_cptnl_number_fn	CPTNL False Negative Responses for Number Trials	NumLet False Negative Responses for Number Trials
spcptnl_scpn_fp	released	cptnl	cnb_cptnl_number_fp	CPTNL False Positive Responses for Number Trials	NumLet False Positive Responses for Number Trials
spcptnl_scpn_fprt	released	cptnl	cnb_cptnl_number_fprt	CPTNL Median Response Time for False Positive Responses for Number Trials (ms)	Median Response Time for NumLet False Positive Responses for Number Trials (ms)
spcptnl_scpn_rt	released	cptnl	cnb_cptnl_number_rt	CPTNL Median Response Time for All Number Responses (ms)	Median Response Time for All Number Positive Responses (ms)
spcptnl_scpn_tn	released	cptnl	cnb_cptnl_number_tn	CPTNL True Negative Responses for Number Trials	NumLet True Negative Responses for Number Trials
spcptnl_scpn_tp	released	cptnl	cnb_cptnl_number_tp	CPTNL True Positive Responses for Number Trials	NumLet True Positive Responses for Number Trials
spcptnl_scpn_tprt	released	cptnl	cnb_cptnl_number_tprt	CPTNL Median Response Time for True Positive Responses for Number Trials (ms)	Median Response Time for NumLet True Positive Responses for Number Trials (ms)
spcptnl_scpt_fn	released	cptnl	cnb_cptnl_total_fn	CPTNL Total False Negatives	NumLet CPT False Negatives = Sum of CPN_FN and CPL_FN
spcptnl_scpt_fp	released	cptnl	cnb_cptnl_total_fp	CPTNL Total False Positives	NumLet CPT False Positives = Sum of CPN_FP and CPL_FP
spcptnl_scpt_fprt	released	cptnl	cnb_cptnl_total_fprt	CPTNL Median Response Time for False Positive Number Responses (ms) and False Positive Letter Responses (ms)	Median Response Time for NumLet False Positive Responses
spcptnl_scpt_rt	released	cptnl	cnb_cptnl_total_rt	CPTNL Median Response Time for All Responses (ms)	Median Response Time for All NumLet Positive Responses (ms)
spcptnl_scpt_sen	released	cptnl	cnb_cptnl_total_sen	CPTNL Sensitivity	Sensitivity = CPT_TP/(CPT_TP + CPT_FN)
spcptnl_scpt_spec	released	cptnl	cnb_cptnl_total_spec	CPTNL Specificity	Specificity = CPT_TN/(CPT_TN + CPT_FP)
spcptnl_scpt_tn	released	cptnl	cnb_cptnl_total_tn	CPTNL Total True Negatives	NumLet CPT True Negatives = Sum of CPN_TN and CPL_TPN
spcptnl_scpt_tp	released	cptnl	cnb_cptnl_total_tp	CPTNL Total True Positives	NumLet CPT True Positives = Sum of CPN_TP and CPL_TP
spcptnl_scpt_tprt	released	cptnl	cnb_cptnl_total_tprt	CPTNL Median Response Time for True Positive Number Responses (ms) and True Positive Letter Responses (ms)	Median Response Time for NumLet True Positive Responses
svolt_a_svolt_cr	released	volt	cnb_volt_cr	VOLT Total Correct Responses	SVOLT_A Total Correct Responses
svolt_a_svolt_er	released	volt	cnb_volt_er	VOLT Total Incorrect Responses	SVOLT_A Total Incorrect Responses
svolt_a_svolt_fn	released	volt	cnb_volt_fn	VOLT False Negative Responses	SVOLT_A False Negatives
svolt_a_svolt_fnrt	released	volt	cnb_volt_fnrt	VOLT Median Response Time for False Negative Responses (ms)	SVOLT_A False Negatives Median Response Time (ms)
svolt_a_svolt_fp	released	volt	cnb_volt_fp	VOLT False Positive Responses	SVOLT_A False Positives
svolt_a_svolt_fprt	released	volt	cnb_volt_fprt	VOLT Median Response Time for False Positive Responses (ms)	SVOLT_A False Positives Median Response Time (ms)
svolt_a_svolt_rt	released	volt	cnb_volt_rt	VOLT Median Response Time for All Responses (ms)	SVOLT_A Median Response Time for all responses(ms)
svolt_a_svolt_rtcr	released	volt	cnb_volt_rtcr	VOLT Median Response Time for Correct Responses (ms)	SVOLT_A Median Total Correct Response Time (ms)
svolt_a_svolt_rter	released	volt	cnb_volt_rter	VOLT Median Response Time for Incorrect Responses (ms)	SVOLT_A Median Total incorrect Response Time (ms)
svolt_a_svolt_tn	released	volt	cnb_volt_tn	VOLT True Negative Responses	SVOLT_A True Negatives
svolt_a_svolt_tnrt	released	volt	cnb_volt_tnrt	VOLT Median Response Time for True Negative Responses (ms)	SVOLT_A True Negatives Median Response Time (ms)
svolt_a_svolt_tp	released	volt	cnb_volt_tp	VOLT True Positive Responses	SVOLT_A True Positives
svolt_a_svolt_tprt	released	volt	cnb_volt_tprt	VOLT Median Response Time for True Positive Responses (ms)	SVOLT_A True Positives Median Response Time (ms)
svolt_a_svolt_w_rtcr	released	volt	cnb_volt_w_rtcr	VOLT Weighted Median Response Time for Correct Responses (ms)	SVOLT_A Weighted Median Total Correct Response Time (ms)
svolt_a_svolt_w_rter	released	volt	cnb_volt_w_rter	VOLT Weighted Median Response Time for Incorrect Responses (ms)	SVOLT_A Weighted Median Total incorrect Response Time (ms)
vsplot15_vsplot15_cr	released	plot	cnb_plot_cr	PLOT Total Correct Responses	VSPLOT15 Total Correct
vsplot15_vsplot15_er	released	plot	cnb_plot_er	PLOT Total Incorrect Responses	VSPLOT15 Total Incorrect
vsplot15_vsplot15_pc	released	plot	cnb_plot_pc	PLOT Percent Correct Responses	VSPLOT15 Percent Correct
vsplot15_vsplot15_rt	released	plot	cnb_plot_rt	PLOT Median Response Time for All Responses (ms)	VSPLOT15 Median Response Time for All Trials (ms)
vsplot15_vsplot15_rtcr	released	plot	cnb_plot_rtcr	PLOT Median Response Time for Correct Responses (ms)	VSPLOT15 Median Response Time for Correct Trials (ms)
vsplot15_vsplot15_rter	released	plot	cnb_plot_rter	PLOT Median Response Time for Incorrect Responses (ms)	VSPLOT15 Median Response Time for Incorrect Trials (ms)
vsplot24_vsplot24_cr	released	plot	cnb_plot_cr	PLOT Total Correct Responses	
vsplot24_vsplot24_er	released	plot	cnb_plot_er	PLOT Total Incorrect Responses	
vsplot24_vsplot24_pc	released	plot	cnb_plot_pc	PLOT Percent Correct Responses	
vsplot24_vsplot24_rt	released	plot	cnb_plot_rt	PLOT Median Response Time for All Responses (ms)	
vsplot24_vsplot24_rtcr	released	plot	cnb_plot_rtcr	PLOT Median Response Time for Correct Responses (ms)	
vsplot24_vsplot24_rter	released	plot	cnb_plot_rter	PLOT Median Response Time for Incorrect Responses (ms)	
adt36_a_adt36a_ca_cr	misc				ADT36A Correct Responses for  Caucasian Trials
adt36_a_adt36a_ca_er	misc				ADT36A Incorrect Responses for  Caucasian Trials
adt36_a_adt36a_ca_rtcr	misc				ADT36A Response Time for Correct  Caucasian Trials (ms)
adt36_a_adt36a_ca_rter	misc				ADT36A Response Time for Incorrect  Caucasian Trials (ms)
adt36_a_adt36a_nonca_cr	misc				ADT36A Correct Responses for  Non-Caucasian Trials
adt36_a_adt36a_nonca_er	misc				ADT36A Incorrect Responses for  Non-Caucasian Trials
adt36_a_adt36a_nonca_rtcr	misc				ADT36A Response Time for Correct  Non-Caucasian Trials (ms)
adt36_a_adt36a_nonca_rter	misc				ADT36A Response Time for Incorrect  Non-Caucasian Trials (ms)
adt36_a_adt36a_ns_cr	misc				ADT36A Correct Responses for  Non-Same Trials
adt36_a_adt36a_ns_rtcr	misc				ADT36A Response Time for Correct  Non-Same Trials (ms)
adt36_a_adt36a_same_cr	misc				ADT36A Correct Responses for  Same Trials
adt36_a_adt36a_same_rtcr	misc				ADT36A Response Time for Correct  Same Trials (ms)
adt36_a_valid_code	misc				
adt36_b_adt36b_ca_cr	misc				
adt36_b_adt36b_ca_er	misc				
adt36_b_adt36b_ca_rtcr	misc				
adt36_b_adt36b_ca_rter	misc				
adt36_b_adt36b_nonca_cr	misc				
adt36_b_adt36b_nonca_er	misc				
adt36_b_adt36b_nonca_rtcr	misc				
adt36_b_adt36b_nonca_rter	misc				
adt36_b_adt36b_ns_cr	misc				
adt36_b_adt36b_ns_rtcr	misc				
adt36_b_adt36b_same_cr	misc				
adt36_b_adt36b_same_rtcr	misc				
adt36_b_valid_code	misc				
cnb_battery	misc				
cnb_datasetid	misc				
cnb_handedness	misc				
cnb_siteid	misc				
cnb_valid_code	misc				
cpf_a_valid_code	misc				
cpf_b_valid_code	misc				
er40_a_valid_code	misc				
er40_c_valid_code	misc				
er40_d_valid_code	misc				
gng150_valid_code	misc				
kcpw_a_valid_code	misc				
kspvrt_a_valid_code	misc				
kspvrt_b_valid_code	misc				
kspvrt_d_valid_code	misc				
medf36_a_medf36a_ca_cr	misc				MEDF36A Correct Responses for  Caucasian Trials
medf36_a_medf36a_ca_rtcr	misc				MEDF36A Response Time for Correct  Caucasian Trials (ms)
medf36_a_medf36a_nonca_cr	misc				MEDF36A Correct Responses for  Non-Caucasian Trials
medf36_a_medf36a_nonca_rtcr	misc				MEDF36A Response Time for Correct  Non-Caucasian Trials (ms)
medf36_a_medf36a_ns_cr	misc				MEDF36A Correct Responses for  Non-Same Trials
medf36_a_medf36a_ns_rtcr	misc				MEDF36A Response Time for Correct  Non-Same Trials (ms)
medf36_a_medf36a_same_cr	misc				MEDF36A Correct Responses for  Same Trials
medf36_a_medf36a_same_rtcr	misc				MEDF36A Response Time for Correct  Same Trials (ms)
medf36_a_valid_code	misc				
medf36_b_medf36b_ca_cr	misc				
medf36_b_medf36b_ca_rtcr	misc				
medf36_b_medf36b_nonca_cr	misc				
medf36_b_medf36b_nonca_rtcr	misc				
medf36_b_medf36b_ns_cr	misc				
medf36_b_medf36b_ns_rtcr	misc				
medf36_b_medf36b_same_cr	misc				
medf36_b_medf36b_same_rtcr	misc				
medf36_b_valid_code	misc				
mpract_valid_code	misc				
pcet_a_pcet_wis_clevel_res	misc				PCET Count of Concept Level Responses
pcet_a_pcet_wis_fms	misc				PCET Count of Failures to Maintain Set
pcet_a_pcet_wis_per_er	misc				PCET Number of Perseverative Errors
pcet_a_pcet_wis_per_res	misc				PCET Perseverative Errors Plus Correct Perseverative Responses
pcet_a_valid_code	misc				
pcet_b_pcet_wis_clevel_res	misc				
pcet_b_pcet_wis_fms	misc				
pcet_b_pcet_wis_per_er	misc				
pcet_b_pcet_wis_per_res	misc				
pcet_b_valid_code	misc				
pmat24_a_valid_code	misc				
pmat24_b_valid_code	misc				
scanid	misc				
sctap_valid_code	misc				
slnb2_90_valid_code	misc				
spcet_a_spcet_wis_clevel_res	misc				
spcet_a_spcet_wis_fms	misc				
spcet_a_spcet_wis_per_er	misc				
spcet_a_spcet_wis_per_res	misc				
spcet_a_valid_code	misc				
spcptnl_valid_code	misc				
svolt_a_valid_code	misc				
vsplot15_valid_code	misc				
vsplot24_valid_code	misc				
wrat4_age_mon	misc				Month part of the subject's age
wrat4_age_yr	misc				Year part of the subject's age
wrat4_valid_code	misc				
wrat4_wrat4cr_raw	misc				WRAT4 Total Raw Score
wrat4_wrat4cr_std	misc				WRAT4 Total Standard Score
wrat4_wrat4letcr	misc				WRAT4 Letters Score
wrat4_wrat4wordcr	misc				WRAT4 Word Score
