participant_id,session_id,task,acq,median_FD,low_coverage_sum,qc_determination
sub-82063,ses-1,face,singleband,0.0408921661022628,2,pass
sub-82063,ses-1,fracback,singleband,0.0389373560568677,2,pass
sub-82063,ses-1,rest,multiband,0.0376121468536934,2,pass
sub-82063,ses-1,rest,singleband,0.0430160652006807,2,pass
sub-82492,ses-1,face,singleband,0.0815618876798314,2,pass
sub-82492,ses-1,fracback,singleband,0.0593465012031005,2,pass
sub-82492,ses-1,rest,multiband,0.0873666839873241,2,pass
sub-82492,ses-1,rest,singleband,0.0664428113280418,2,pass
sub-82790,ses-1,face,singleband,0.0689949550661073,2,pass
sub-82790,ses-1,fracback,singleband,0.0817649545711388,2,pass
sub-82790,ses-1,rest,multiband,0.1677443492085294,2,pass
sub-82790,ses-1,rest,singleband,0.1319038616940624,2,pass
sub-83010,ses-1,face,singleband,0.139461992860752,2,pass
sub-83010,ses-1,fracback,singleband,0.1122949699489447,2,pass
sub-83010,ses-1,rest,multiband,0.1181623930646227,2,pass
sub-83010,ses-1,rest,singleband,0.1800859085225702,2,pass
sub-83372,ses-1,rest,multiband,0.0537627631659319,2,pass
sub-83372,ses-1,rest,singleband,0.0446249030665349,2,pass
sub-83454,ses-1,fracback,singleband,0.061503883457819,2,pass
sub-83454,ses-1,rest,multiband,0.0957728434692515,2,pass
sub-83454,ses-1,rest,singleband,0.0644720797995243,2,pass
sub-83835,ses-1,fracback,singleband,0.1288701498086364,2,pass
sub-83835,ses-1,rest,multiband,0.1157895320975961,2,pass
sub-83835,ses-1,rest,singleband,0.1712029181571039,2,pass
sub-83999,ses-1,face,singleband,0.1008418856897188,2,pass
sub-83999,ses-1,fracback,singleband,0.0745248621292678,2,pass
sub-83999,ses-1,rest,multiband,0.089014565112002,2,pass
sub-83999,ses-1,rest,singleband,0.099533485534778,2,pass
sub-84103,ses-1,face,singleband,0.0533888220459149,2,pass
sub-84103,ses-1,fracback,singleband,0.0608563564236617,2,pass
sub-84103,ses-1,rest,multiband,0.10001710845009,2,pass
sub-84103,ses-1,rest,singleband,0.0475977697714158,2,pass
sub-84354,ses-1,rest,multiband,0.1901668392256629,2,pass
sub-84354,ses-1,rest,singleband,0.1666026943298435,2,pass
sub-84688,ses-1,fracback,singleband,0.2132583606586917,2,fail
sub-84688,ses-1,rest,multiband,0.6581608383164833,2,fail
sub-84688,ses-1,rest,singleband,0.1841653141356055,2,pass
sub-84761,ses-1,fracback,singlebandVARIANTObliquityFalse,0.1217758869825249,2,pass
sub-84761,ses-1,rest,multibandVARIANTObliquityFalse,0.1193876248025435,2,pass
sub-84761,ses-1,rest,singlebandVARIANTObliquityFalse,0.1912450172588368,2,pass
sub-84973,ses-1,face,singleband,0.2736491404492454,2,fail
sub-84973,ses-1,fracback,singleband,0.0812021961027717,2,pass
sub-84973,ses-1,rest,multiband,0.1801655869725605,2,pass
sub-84973,ses-1,rest,singleband,0.1362933403744515,2,pass
sub-85083,ses-1,fracback,singleband,0.0877764045303141,2,pass
sub-85083,ses-1,rest,multiband,0.1072317675175941,2,pass
sub-85083,ses-1,rest,singleband,0.0994653569993608,2,pass
sub-85173,ses-1,face,singleband,0.0793352064763426,2,pass
sub-85173,ses-1,fracback,singleband,0.0625342838756281,2,pass
sub-85173,ses-1,rest,multiband,0.0650327920822413,2,pass
sub-85173,ses-1,rest,singleband,0.1119039676587601,2,pass
sub-85369,ses-1,fracback,singleband,0.0750357327199569,2,pass
sub-85369,ses-1,rest,multiband,0.1988951521003498,2,pass
sub-85369,ses-1,rest,singleband,0.1203314636264901,2,pass
sub-85743,ses-1,fracback,singleband,0.096369511023833,2,pass
sub-85743,ses-1,rest,multiband,0.1291863337477323,2,pass
sub-85743,ses-1,rest,singleband,0.1348796087932391,2,pass
sub-85853,ses-1,face,singleband,0.0591422617914182,2,pass
sub-85853,ses-1,fracback,singleband,0.0449383829024592,2,pass
sub-85853,ses-1,rest,multiband,0.0769729111962095,2,pass
sub-85853,ses-1,rest,singleband,0.0778681000321934,2,pass
sub-86287,ses-1,face,singleband,0.0905803656075861,2,pass
sub-86287,ses-1,fracback,singleband,0.1218586022750148,2,pass
sub-86287,ses-1,rest,multiband,0.0743106814036529,2,pass
sub-86287,ses-1,rest,singleband,0.1668790197473809,2,pass
sub-86350,ses-1,face,singleband,0.1230585710368833,2,pass
sub-86350,ses-1,fracback,singleband,0.06264864987172,2,pass
sub-86350,ses-1,rest,multiband,0.0795619536627191,2,pass
sub-86350,ses-1,rest,singleband,0.0748284710532718,2,pass
sub-86444,ses-1,face,singleband,0.05609136646549,2,pass
sub-86444,ses-1,fracback,singleband,0.0600294303919006,2,pass
sub-86444,ses-1,rest,multiband,0.1214754454243557,2,pass
sub-86444,ses-1,rest,singleband,0.0603145092572715,2,pass
