participant_id	bisbas_1	bisbas_2	bisbas_3	bisbas_4	bisbas_5	bisbas_6	bisbas_7	bisbas_8	bisbas_9	bisbas_10	bisbas_11	bisbas_12	bisbas_13	bisbas_14	bisbas_15	bisbas_16	bisbas_17	bisbas_18	bisbas_19	bisbas_20	bisbas_21	bisbas_22	bisbas_23	bisbas_24
sub-121476	2	3	2	2	2	2	1	3	3	2	3	2	2	2	2	2	2	2	2	2	4	2	1	2
sub-121670	2	2	1	1	1	2	1	1	1	1	3	1	3	1	2	2	1	2	2	1	2	2	1	1
sub-122522	1	2	1	1	1	1	1	4	1	2	3	1	4	1	2	3	1	1	3	1	1	2	1	3
sub-122528	1	2	3	2	1	2	2	3	3	3	3	2	2	2	4	3	1	2	1	2	4	2	3	2
sub-122801	2	3	3	2	1	2	1	2	2	1	3	3	1	2	1	2	2	2	2	2	2	3	1	2
sub-122916	2	2	3	2	2	2	1	3	2	1	2	3	2	2	1	3	1	2	2	1	3	2	2	2
sub-125511	3	4	2	2	3	1	2	1	2	1	1	2	1	2	1	1	1	2	1	2	2	4	1	1
sub-125535	1	2	1	1	1	1	1	2	1	1	4	1	1	1	4	2	1	1	2	3	2	3	1	1
sub-125554	1	2	2	1	1	1	1	2	2	2	3	2	2	2	2	3	2	2	2	1	3	2	1	2
sub-126176	2	2	3	1	1	2	2	3	1	3	3	1	3	1	3	3	2	3	1	2	3	2	1	1
sub-126389	2	3	2	1	2	2	2	3	2	1	3	2	3	2	2	4	2	2	2	2	3	2	1	2
sub-126554	1	3	4	1	2	2	2	3	4	2	3	3	2	2	2	2	1	1	2	2	4	3	1	2
sub-126903	2	1	3	1	1	4	3	4	2	1	4	3	3	4	3	4	4	3	4	4	4	1	2	4
sub-126921	1	4	3	2	1	2	1	1	2	3	3	3	1	1	1	1	1	2	1	1	3	4	2	1
sub-127008	1	4	1	1	1	2	1	2	2	3	4	2	2	2	2	3	1	1	2	1	2	2	1	2
sub-127236	1	2	4	1	1	2	1	2	3	3	2	3	2	2	2	2	1	1	2	1	3	2	1	2
