participant_id	grit_1	grit_2	grit_3	grit_4	grit_5	grit_6	grit_7	grit_8	grit_9	grit_10	grit_11	grit_12	grit_13	grit_14	grit_15___0	grit_15___1	grit_15___2	grit_15___3	grit_complete
sub-121476	3	1	2	3	4	3	3	2	4	3	4	4	6.0	5.0	1	1	1	1	2
sub-121670	5	4	1	4	5	5	3	1	5	4	5	5	4.0	3.0	0	0	0	1	2
sub-122522	4	4	4	3	5	4	4	5	4	5	4	3	4.0	7.0	1	1	1	1	2
sub-122528	5	3	4	2	5	4	2	2	2	4	3	5	5.0	16.0	1	1	1	1	2
sub-122801	5	3	5	3	3	4	3	3	4	3	4	5	3.0	9.0	1	1	1	1	2
sub-122916	5	4	5	3	3	4	3	3	4	4	4	5	4.0	9.0	1	1	0	1	2
sub-125511	5	1	5	3	3	5	2	1	5	1	5	5	4.0	10.0	1	0	0	1	2
sub-125535	5	3	2	5	5	5	5	5	1	4	2	4	5.0	8.0	1	1	0	1	2
sub-125554	5	4	5	3	5	3	3	4	5	3	5	5	4.0	6.0	1	1	0	1	2
sub-126176	4	2	5	2	5	4	3	3	1	2	4	5	2.0	14.0	1	0	0	1	2
sub-126389	4	3	3	4	4	3	5	4	4	4	3	4	4.0	12.0	1	1	1	1	2
sub-126554	5	5	4	3	4	3	4	3	4	3	4	5	2.5	1.5	1	1	1	1	2
sub-126903	3	4	4	5	2	2	3	5	4	5	5	5	6.0	9.0	1	1	0	1	2
sub-126921	5	5	1	1	5	5	1	1	5	4	5	3	5.0	12.0	1	0	0	0	2
sub-127008	4	3	4	3	4	4	4	4	4	4	5	4	10.0	4.0	1	1	1	1	2
sub-127236	4	3	5	4	3	3	4	3	4	3	4	5	6.0	4.0	1	0	0	1	2
sub-127305	4	5	1	1	5	5	3	4	5	5	5	5	5.0	6.0	1	1	1	1	2
sub-127417	3	3	2	1	2	2	3	3	4	3	4	3	8.0	5.0	1	1	1	1	2
sub-127542	5	1	5	5	5	5	3	5	5	3	5	5	4.0	2.0	1	1	1	1	2
sub-127611	5	3	5	5	3	2	4	2	5	3	3	4	3.0	5.0	1	1	1	1	2
sub-128061	5	5	4	3	3	3	1	3	5	2	4	4	5.0	2.0	1	1	1	1	2
sub-128154	5	3	5	5	5	4	4	5	5	5	5	5	2.0	6.0	1	1	1	1	2
sub-129354	1	3	1	3	3	1	4	3	2	4	2	4	10.0	9.0	1	1	1	1	2
sub-129405	3	3	2	3	5	5	3	3	4	3	3	4	2.0	12.0	1	1	1	1	2
sub-129552	5	2	3	2	3	4	3	2	5	3	3	5	4.0	3.0	1	1	1	1	2
sub-129720	5	3	4	4	4	4	3	4	4	4	3	5	2.0	15.0	1	1	0	1	2
sub-129886	5	2	5	4	3	5	4	3	3	3	3	5	4.0	6.0	0	1	0	0	2
sub-129926	4	2	5	3	4	5	4	5	5	4	5	5	2.0	10.0	1	1	1	1	2
sub-130121	5	5	1	1	5	5	1	1	5	5	5	5	15.0	22.0	1	1	0	1	2
sub-130211	5	5	3	4	5	5	4	4	5	5	4	4	0.5	16.0	1	1	1	1	2
sub-130687	4	3	4	3	4	3	3	2	3	4	4	4	3.0	9.0	1	1	0	1	2
sub-130759	4	3	3	2	4	2	4	4	3	4	4	2	3.0	1.0	1	0	0	0	2
sub-130896	5	4	2	3	5	4	5	5	5	5	5	5	8.0	6.0	1	1	1	1	2
sub-131224	5	5	5	1	5	5	3	2	4	2	5	5	4.0	9.0	1	1	1	1	2
sub-131867	4	4	4	3	4	5	4	4	3	4	4	5	1.0	8.0	1	1	1	1	2
sub-132179	3	3	4	3	3	3	3	3	3	3	3	3	4.0	2.0	1	1	1	1	2
sub-132224	4	3	3	4	3	4	3	3	3	4	3	5	2.0	3.0	1	1	0	1	2
sub-132657	5	2	2	4	1	5	2	1	5	2	4	5	5.0	9.0	1	1	0	1	2
sub-133220	5	4	5	3	3	3	3	3	4	4	4	4	6.0	8.0	1	1	0	0	2
sub-139272	4	3	1	1	3	4	3	4	5	4	5	5	3.0	5.0	1	1	1	1	2
sub-19977	5	3	5	4	5	5	5	5	4	4	4	5	2.0	12.0	1	1	0	1	2
sub-19981	5	2	3	5	5	2	3	5	2	4	3	5	3.0	9.0	1	0	1	1	2
sub-20011	5	2	4	2	5	5	3	1	5	3	5	5	2.0	8.0	1	0	0	1	2
sub-20017	5	3	5	5	3	3	2	1	5	4	4	5	4.0	5.0	1	0	1	1	2
sub-20120	3	2	4	2	3	4	3	2	4	1	3	5	3.0	8.0	1	1	0	1	2
sub-20151	5	2	3	4	4	5	4	3	2	4	3	5	2.0	10.0	1	0	1	1	2
sub-20153	4	1	1	1	5	4	2	1	1	3	2	4	8.0	4.0	1	1	1	1	2
sub-20189	5	2	1	1	5	5	1	1	5	2	3	5	3.0	9.0	1	0	0	1	2
sub-20197	5	3	4	1	5	3	1	1	4	2	4	5	2.0	10.0	0	1	0	1	2
sub-20247	4	2	2	2	5	5	3	5	5	4	5	5	1.0	12.0	0	1	1	1	2
sub-20313	5	3	5	2	5	5	3	2	5	3	5	5	2.0	12.0	1	1	0	1	2
sub-20320	5	4	3	4	5	5	4	5	3	4	4	5	3.0	8.0	1	1	1	1	2
sub-20322	5	3	4	3	5	5	3	2	4	3	4	5	4.0	8.0	1	0	0	1	2
sub-20325	5	1	3	1	3	3	2	1	2	2	2	4	3.0	0.0	1	1	0	1	2
sub-20326	5	3	4	4	3	2	4	4	3	3	3	4	4.0	12.0	1	1	1	1	2
sub-20327	5	3	1	3	4	5	4	4	3	4	3	3	4.0	2.0	1	1	1	1	2
sub-20362	5	3	4	1	3	3	1	1	5	4	5	5	5.0	9.0	1	1	1	1	2
sub-20386	4	4	4	2	4	4	4	3	4	4	2	5	0.5	10.0	1	1	0	1	2
sub-20387	5	1	3	3	5	4	3	3	2	2	4	5	2.0	8.5	1	1	1	1	2
sub-20461	5	1	5	1	5	5	2	1	5	3	3	5	15.0	2.0	1	1	1	1	2
sub-20589	5	3	4	1	4	5	3	1	3	3	2	5	8.0	8.0	1	1	0	1	2
